ROUND_HOLE_ID,TERRAIN_DESCR,ROUND_SHOT_ID,FAIRWAY_FLAG,FAIRWAY_RIGHT_FLAG,FAIRWAY_LEFT_FLAG,RCVR_SHOT_FLAG,STROKE_GAINED,START_TO_CG_DIST,END_TO_CG_DIST,START_TERRAIN_ID,END_TERRAIN_ID,SHOT_DIST,FAIRWAY_BOUNDS_DIST,PENALTY_CNT,IGNORE_FLAG,RCVR_REQUIRED_FLAG,FP_OR_MISSED_FLAG,LEFT_FLAG,RIGHT_FLAG,CENTER_LINE_DIST,SRC_KEY,DML_INS_DT,DML_INS_BATCH,DML_UPD_DT,DML_UPD_BATCH,DML,Name,Date,Hole
9545269,rough,44191858,F,F,T,T,-0.850377023,132.8580017,96.20200348,2,2,41.41790009,41.6570015,0,F,,F,T,F,54.53070068,1052492-8-2,8/11/2017 5:18,,8/20/2017 10:57,,U,LUCA ,"Apr. 24th, 2018",1
9198192,rough,42577489,F,T,F,,-0.131662995,360.0589905,173.3849945,1,2,186.7489929,0.792962015,0,F,T,F,F,T,26.81649971,1014050-3-1,7/28/2017 6:17,,8/3/2017 8:46,,U,TOMMY ,"Apr. 25th, 2018",2
7394919,rough,34448193,F,T,F,T,-0.347662985,221.3840027,107.5599976,2,2,125.4589996,1.489410043,0,F,,F,F,T,13.17710018,798943-4-2,5/15/2017 6:14,,5/16/2017 5:21,,U,FINLAY ,"Apr. 21th, 2018",9
9545269,rough,44188736,F,F,T,,0.055033199,364.0679932,132.8580017,1,2,231.2109985,21.34939957,0,F,T,F,T,F,41.70629883,1052492-8-1,8/11/2017 5:18,,8/20/2017 10:57,,U,JENSON ,"Apr. 24th, 2018",16
7023626,rough,32875684,F,F,T,T,-0.745404005,167.9570007,111.5780029,2,2,57.52519989,14.02330017,0,F,,F,T,F,27.42320061,758960-14-2,4/27/2017 3:24,,4/28/2017 3:26,,U,ARTHUR ,June. 5th 2018,17
11333148,fairway,52134277,T,F,F,,-0.110996,308.7260132,156.6609955,1,5,221.6190033,6.339630127,0,F,,F,F,T,21.12969971,1251463-7-1,11/16/2017 8:50,,11/17/2017 6:51,,U,LOUIS ,"Apr. 21th, 2018",18
9778131,rough,45139555,F,F,T,,-0.228658006,545.6190186,343.5920105,1,2,208.1230011,10.23820019,0,F,T,F,T,F,27.73769951,1073926-9-1,8/20/2017 10:57,,8/21/2017 5:37,,U,RHYS ,"Apr. 2th, 2018",13
9610733,rough,44446929,F,F,T,T,-0.921599984,160.6260071,142.9320068,2,2,18.99749947,12.53779984,0,F,,F,T,F,25.27079964,1058625-18-2,8/14/2017 5:20,,8/20/2017 10:57,,U,OWEN ,"Apr. 25th, 2018",14
9597944,rough,44360228,F,F,T,T,-0.513233006,205.9640045,123.6869965,2,2,97.48770142,0.466681004,0,F,,F,T,F,12.9939003,1059500-6-2,8/13/2017 5:25,,8/20/2017 10:57,,U,REUBEN ,"Apr. 11th, 2018",9
6351609,rough,29812875,F,T,F,T,-0.657811999,162.7720032,67.16690063,2,2,95.83509827,1.464079976,0,F,,F,F,T,20.84830093,673754-13-2,3/11/2017 6:03,,3/12/2017 5:34,,U,OLLIE ,"Apr. 24th, 2018",1
8186704,rough,37955996,F,F,T,,-1.056130052,404.4039917,367.0369873,1,2,38.75260162,85.31780243,0,F,T,F,T,F,11.71280003,899090-14-1,6/18/2017 9:26,,6/19/2017 10:10,,U,LOUIE ,"Apr. 25th, 2018",2
7985717,rough,37214879,F,F,T,,-1.329079986,467.3150024,283.3099976,1,2,185.3670044,7.344540119,1,F,,F,T,F,21.65839958,880684-17-1,6/11/2017 7:13,,6/12/2017 5:24,,U,GABRIEL ,"Apr. 21th, 2018",9
6351214,rough,29799923,F,F,T,,0.055851799,374.0589905,136.8099976,1,2,238.7140045,5.909999847,0,F,T,F,T,F,17.64100075,673754-18-1,3/11/2017 6:03,,3/12/2017 5:34,,U,BOBBY ,"Apr. 23th, 2018",16
10433231,rough,48121287,F,F,T,,-0.532819986,440.3970032,276.9809875,1,2,213.1349945,24.58950043,0,F,T,F,T,F,40.42599869,1151719-17-1,9/18/2017 6:43,,9/19/2017 5:52,,U,CAMERON ,"Apr. 25th, 2018",17
10373494,rough,47855152,F,T,F,T,-0.743403971,192.5789948,149.4680023,2,2,46.81620026,39.87559891,0,F,,F,F,T,39.46419907,1146081-10-2,9/16/2017 5:51,,9/17/2017 5:36,,U,DEXTER ,"Apr. 21th, 2018",18
6846508,rough,31944885,F,F,T,T,-0.132254004,298.1940002,175.3959961,2,2,176.1679993,83.14630127,0,F,,F,T,F,94.30439758,736700-17-2,4/16/2017 3:38,,4/17/2017 3:42,,U,BLAKE ,"Apr. 24th, 2018",4
